Account_Name,Account_Type,Balance,Institution,Currency,Interest_Rate
RBC - SAVINGS,Checking,-308.4399999999991,RBC,CAD,0.0
Scotia - Savings,Checking,-9.129999999999995,Scotiabank,CAD,0.0
